offset,error
-20,0.0018507122511724657
-19,0.0017732182007315189
-18,0.0016958029400591162
-17,0.0016184789098748489
-16,0.0015412609705476778
-15,0.0014641670349350546
-14,0.0013872189068707477
-13,0.0013104434068433521
-12,0.0012338739049728693
-11,0.0011575524413674693
-10,0.0010815327090700545
-9,0.0010058843288820321
-8,0.00093069910044744604
-7,0.00085610034595000502
-6,0.00078225721068601428
-5,0.00070940710590397245
-4,0.00063789184574809528
-3,0.00056821726566069232
-2,0.00050115341372895231
-1,0.00043790332020324235
0,0.00038037635310040068
1,0.00033156721535110729
2,0.0002958254792563676
3,0.00027823595426275616
4,0.00028221577475444939
5,0.00030692910991104918
6,0.00034798803152678664
7,0.00040039666106089214
8,0.0004602956076120239
9,0.0005251289596619695
10,0.00059328209963050826
11,0.00066373391588794449
12,0.00073582508594407982
13,0.00080911809944709113
14,0.00088331433339338685
15,0.00095820443348277598
16,0.0010336379838493859
17,0.0011095044952400847
18,0.0011857211788962397
19,0.0012622248882835031
