offset,error
-60,0.00021893830978036158
-59,0.00021661693156068475
-58,0.00021437302019420545
-57,0.00021220904165071262
-56,0.0002101274740862272
-55,0.00020813079881101736
-54,0.00020622149038343734
-53,0.0002044020058535474
-52,0.00020267477319902834
-51,0.000201042179016868
-50,0.00019950655555623587
-49,0.00019807016720111654
-48,0.0001967351965342311
-47,0.00019550373013630626
-46,0.00019437774429580988
-45,0.00019335909082254921
-44,0.0001924494831734419
-43,0.00019165048310927949
-42,0.00019096348810620432
-41,0.00019038971974460274
-40,0.00018993021329052534
-39,0.0001895858086703476
-38,0.00018935714301812422
-37,0.00018924464494791192
-36,0.00018924853067031185
-35,0.00018936880203529962
-34,0.00018960524654290108
-33,0.00018995743932145558
-32,0.00019042474703108108
-31,0.00019100633360973537
-30,0.00019170116774199416
-29,0.00019250803189789519
-28,0.00019342553276192632
-27,0.00019445211285125681
-26,0.00019558606310801576
-25,0.00019682553624290596
-24,0.00019816856060646078
-23,0.00019961305436948042
-22,0.00020115683980455963
-21,0.00020279765747564831
