offset,error
-200,0.008639309791420259
-199,0.008576872201871687
-198,0.008514454262186468
-197,0.008452056407744313
-196,0.008389679086735446
-195,0.008327322760628865
-194,0.008264987904662572
-193,0.008202675008354069
-192,0.00814038457603438
-191,0.008078117127405329
-190,0.008015873198122171
-189,0.007953653340402203
-188,0.007891458123661451
-187,0.007829288135180298
-186,0.007767143980799889
-185,0.007705026285650772
-184,0.007642935694915772
-183,0.007580872874628741
-182,0.007518838512511201
-181,0.007456833318848826
-180,0.007394858027410318
-179,0.007332913396410606
-178,0.007271000209521174
-177,0.00720911927692981
-176,0.007147271436453235
-175,0.007085457554704689
-174,0.007023678528320451
-173,0.006961935285248643
-172,0.006900228786102961
-171,0.006838560025586688
-170,0.006776930033989831
-169,0.006715339878764525
-168,0.0066537906661828855
-167,0.006592283543082832
-166,0.006530819698706322
-165,0.006469400366637027
-164,0.006408026826842111
-163,0.006346700407825567
-162,0.006285422488899393
-161,0.006224194502581138
-160,0.0061630179371239754
-159,0.006101894339189751
-158,0.006040825316672481
-157,0.0059798125416836165
-156,0.005918857753707968
-155,0.00585796276294256
-154,0.005797129453830393
-153,0.0057363597888015275
-152,0.005675655812235737
-151,0.005615019654661519
-150,0.005554453537207296
-149,0.0054939597763224695
-148,0.005433540788786208
-147,0.005373199097023826
-146,0.0053129373347531724
-145,0.00525275825298203
-144,0.0051926647263832665
-143,0.005132659760073105
-142,0.005072746496821109
-141,0.00501292822472347
-140,0.004953208385372101
-139,0.004893590582555367
-138,0.004834078591529051
-137,0.004774676368898971
-136,0.004715388063159666
-135,0.004656218025937231
-134,0.004597170823988051
-133,0.00453825125200906
-132,0.004479464346319465
-131,0.004420815399477926
-130,0.0043623099759049905
-129,0.004303953928584615
-128,0.004245753416925259
-127,0.004187714925864893
-126,0.004129845286313754
-125,0.004072151697030745
-124,0.004014641748040209
-123,0.003957323445699807
-122,0.0039002052395391866
-121,0.0038432960509961144
-120,0.003786605304183032
-119,0.003730142958826744
-118,0.003673919545528226
-117,0.003617946203499158
-116,0.0035622347209357764
-115,0.003506797578197054
-114,0.0034516479939577585
-113,0.003396799974509086
-112,0.0033422683663788567
-111,0.0032880689124404885
-110,0.0032342183116721773
-109,0.0031807342827149415
-108,0.003127635631359646
-107,0.0030749423220667177
-106,0.003022675553585106
-105,0.0029708578386896016
-104,0.002919513087993368
-103,0.002868666697712289
-102,0.0028183456411586673
-101,0.002768578563617719
-100,0.0027193958801093408
-99,0.002670829875351057
-98,0.002622914805019735
-97,0.00257568699714441
-96,0.002529184952153247
-95,0.0024834494397387584
-94,0.002438523590291321
-93,0.0023944529781829756
-92,0.0023512856936639885
-91,0.002309072399564349
-90,0.002267866368385403
-89,0.0022277234947409236
-88,0.0021887022774810154
-87,0.0021508637652489708
-86,0.002114271458722506
-85,0.002078991162436482
-84,0.0020450907789475704
-83,0.0020126400382640443
-82,0.001981710156017315
-81,0.0019523734148883267
-80,0.001924702665409463
-79,0.0018987707445041462
-78,0.001874649813037369
-77,0.0018524106172089008
-76,0.0018321216827413235
-75,0.0018138484553268817
-74,0.0017976524054478767
-73,0.0017835901201324101
-72,0.0017717124080547538
-71,0.0017620634472045617
-70,0.001754680005724254
-69,0.0017495907661201945
-68,0.00174681578069432
-67,0.0017463660817109926
-66,0.001748243463705492
-65,0.001752440447857966
-64,0.0017589404300712608
-63,0.0017677180059696995
-62,0.0017787394581687708
-61,0.0017919633844687337
-60,0.0018073414405708776
-59,0.0018248191677848104
-58,0.0018443368750555066
-57,0.001865830545363132
-56,0.0018892327388538425
-55,0.0019144734685572356
-54,0.001941481028814297
-53,0.0019701827611525056
-52,0.002000505746948847
-51,0.0020323774205149967
-50,0.0020657261000304747
-49,0.0021004814369167406
-48,0.0021365747867425873
-47,0.002173939506599598
-46,0.002212511185131417
-45,0.0022522278121325542
-44,0.00229302989493301
-43,0.0023348605287546727
-42,0.0023776654279456587
-41,0.002421392924548627
-40,0.0024659939401015553
-39,0.002511421935955668
-38,0.002557632846766547
-37,0.0026045850011962427
-36,0.00265223903327906
-35,0.002700557787364205
-34,0.002749506219059253
-33,0.0027990512941637844
-32,0.002849161887203056
-31,0.002899808680842463
-30,0.00295096406718341
-29,0.0030026020517039107
-28,0.003054698160408772
-27,0.0031072293505920116
-26,0.003160173925477986
-25,0.0032135114529004984
-24,0.003267222688091549
-23,0.0033212895005837366
-22,0.003375694805175383
-21,0.0034304224968687764
-20,0.0034854573896598833
-19,0.003540785159037646
-18,0.003596392288035645
-17,0.0036522660166690853
-16,0.0037083942945859575
-15,0.003764765736760318
-14,0.0038213695820543893
-13,0.003878195654482924
-12,0.003935234327014693
-11,0.003992476487755076
-10,0.00404991350835636
-9,0.004107537214513775
-8,0.00416533985840892
-7,0.004223314092972307
-6,0.004281452947842258
-5,0.0043397498069062245
-4,0.0043981983873159405
-3,0.0044567927198770575
-2,0.004515527130717673
-1,0.004574396224148529
0,0.004633394866633011
1,0.004692518171789718
2,0.004751761486357628
3,0.0048111203770558495
4,0.004870590618278785
5,0.004930168180567231
6,0.0049898492198034656
7,0.005049630067080812
8,0.0051095072192013195
9,0.005169477329759482
10,0.0052295372007719184
11,0.005289683774816907
12,0.005349914127648977
13,0.005410225461257283
14,0.005470615097338114
15,0.0055310804711544434
16,0.005591619125756704
17,0.00565222870654181
18,0.005712906956127629
19,0.005773651709523028
20,0.005834460889574782
21,0.005895332502672915
22,0.005956264634698381
23,0.006017255447198342
24,0.006078303173773728
25,0.0061394061166667735
26,0.006200562643535428
27,0.006261771184403713
