offset,error
-20,0.0012375518788234963
-19,0.0011778708259334873
-18,0.0011182452354233366
-17,0.0010586861422296808
-16,0.00099920713888888542
-15,0.00093982517791100216
-14,0.00088056169197370032
-13,0.00082144418742106191
-12,0.00076250855867089097
-11,0.00070380252836756661
-10,0.00064539089466102248
-9,0.00058736376942391231
-8,0.00052984993620061919
-7,0.00047303929869547289
-6,0.00041722210591365298
-5,0.00036286032858330591
-4,0.00031072245006713421
-3,0.00026214299179557003
-2,0.0002195023100904528
-1,0.00018691561454794721
0,0.00017026300431096178
1,0.00017418188070353769
2,0.00019745589596701371
3,0.00023439244123018134
4,0.00027963198233898009
5,0.00032977754020535995
6,0.00038290862479819929
7,0.00043794179992857803
8,0.00049424366658114727
9,0.00055142712583112661
10,0.00060924519704895616
11,0.0006675340703264543
12,0.00072618133880192857
13,0.00078510754855764457
14,0.00084425506932131282
15,0.0009035811456670318
16,0.00096305342192915184
17,0.0010226469792513513
18,0.0010823423245943835
19,0.0011421239951889405
