z-position,wrench
-0.18141016157503206,-0.26535847290115994
-0.18143562603659377,0.065655046958932983
-0.18147525363622957,0.34087978666600927
-0.1815377225359752,0.47577984915557908
-0.1816084417718954,0.55322750940737608
-0.18168969486923517,0.61040900924555508
-0.181773936495788,0.71716538520339901
-0.18185073070753635,0.75216728355531415
-0.18192583129285017,0.86920816573338366
-0.18202143311276514,0.88951283505378154
-0.18211337117837303,0.90517674681883231
-0.1822022961996256,0.89374187615898748
-0.18229712562482647,0.96019326375442304
-0.1823864784749103,0.97462075870024467
-0.18247113295572476,1.0520686142709008
-0.18255798967031936,1.1166894252188633
-0.18265206834167297,1.1048145965167142
-0.18274628333206488,1.1069120618421604
-0.1828373767081713,1.1440970669511539
-0.1829312034391294,1.1440438437637674
-0.1830279723966989,1.1526760937335268
-0.18312395715292118,1.1758340998775689
-0.18321523341116153,1.2027441117148856
-0.18330361838283207,1.2338120494041496
-0.18340309320429915,1.2364228123215115
-0.18350105340281067,1.2295102824837674
-0.18359875250142496,1.2260432135279882
-0.1836801086619593,1.3177676738932818
-0.18377379622642595,1.338533391943312
-0.18386200834796393,1.3928816590579878
-0.18393403460865562,1.5782925248814395
-0.1840057015616308,1.6963911591711678
-0.1840726661170771,1.8923992888907624
-0.18413977790763375,2.0513235961924359
-0.18420651436384305,2.2300048851442638
-0.18427906384395396,2.3742506039912219
-0.18436229747796548,2.5295095204071614
-0.18444998677772342,2.6074068516900613
-0.1845372385731134,2.6963415655370007
-0.18461848260823055,2.8599966403267785
-0.1846959885631945,2.9670975845555501
-0.18477364429287457,3.1351955444057857
