arm_position_z,wrench
-0.18769793115417155,-0.39141252168130358
-0.1877362202603779,-0.075057348623825057
-0.1877853930292927,0.14922917048697779
-0.18785371570439185,0.26227403696272117
-0.18792621404104265,0.38463792882064529
-0.18800158475133288,0.48790633435051117
-0.18807884422614154,0.57969380764534684
-0.1881648311657414,0.64851122701397179
-0.18824297960796033,0.70857150946020753
-0.18833671574974892,0.72520187536249625
-0.1884239815337085,0.78494041171807538
-0.18851337593572107,0.81435849172843422
-0.18860103663604594,0.83445061539932652
-0.18869207367116972,0.86182995969162202
-0.18877987540696337,0.92452736278616332
-0.18886867923588496,0.97383433433254107
-0.1889598629748272,0.99538027895362258
-0.1890600182239124,0.98549866786667817
-0.18914461760208004,1.0376808338726959
-0.1892408328295815,1.0589762294757579
-0.1893331811435952,1.0623786120951766
-0.18942827984342964,1.11639857905164
-0.18952689144699753,1.1091476819449335
-0.18961753949353202,1.1628223119292018
-0.18971192166536663,1.1512080479446174
-0.18979322123876136,1.2366790418421973
-0.18986154057105056,1.4374203462879309
-0.18993287723139382,1.5666554165456148
-0.1899999475343217,1.7862804906695335
-0.19006715794331489,1.9773095029119874
-0.19013962870181517,2.1350062716634435
-0.1902102215051908,2.3268465902047164
-0.19028196601024824,2.43428464315619
-0.19035632894539817,2.5911917480984092
-0.19042870009470828,2.7381461386745238
-0.19049596584121317,2.9367634336880561
-0.19056971466847977,3.0977871504117478
